,input_text,target_text
363,principal,XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate
364,name of principal,XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate
365,exam dates,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>"
366,exam schedule,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>"
367,When is semester exam,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>"
368,Semester exam timetable,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>"
369,sem,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>"
370,semester,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>"
371,exam,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>"
372,when is exam,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>"
373,exam timetable,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>"
374,exam dates,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>"
375,when is semester,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>"
376,what is the process of admission,"Application can also be submitted online through the Unversity's  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>"
377,what is the admission process,"Application can also be submitted online through the Unversity's  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>"
378,How to take admission in your college,"Application can also be submitted online through the Unversity's  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>"
379,What is the process for admission,"Application can also be submitted online through the Unversity's  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>"
380,admission,"Application can also be submitted online through the Unversity's  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>"
381,admission process,"Application can also be submitted online through the Unversity's  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>"
382,scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
383,Is scholarship available,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
384,scholarship engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
385,scholarship it,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
386,scholarship ce,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
387,scholarship mechanical,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
388,scholarship civil,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
389,scholarship chemical,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
390,scholarship for AI/ML,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
391,available scholarships,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
392,scholarship for computer engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
393,scholarship for IT engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
394,scholarship for mechanical engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
395,scholarship for civil engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
396,scholarship for chemical engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
397,list of scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
398,comps scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
399,IT scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
400,mechanical scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
401,civil scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
402,chemical scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
403,automobile scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
404,first year scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
405,second year scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
406,third year scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
407,fourth year scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
408,What facilities college provide,"Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen"
409,College facility,"Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen"
410,What are college facilities,"Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen"
411,facilities,"Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen"
412,facilities provided,"Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen"
413,max number of students,"For IT, Computer and extc 60 per branch and seat may be differ for different department."
414,number of seats per branch,"For IT, Computer and extc 60 per branch and seat may be differ for different department."
415,number of seats in each branch,"For IT, Computer and extc 60 per branch and seat may be differ for different department."
416,maximum number of seats,"For IT, Computer and extc 60 per branch and seat may be differ for different department."
417,maximum students intake,"For IT, Computer and extc 60 per branch and seat may be differ for different department."
418,What is college intake,"For IT, Computer and extc 60 per branch and seat may be differ for different department."
419,how many stundent are taken in each branch,"For IT, Computer and extc 60 per branch and seat may be differ for different department."
420,seat allotment,"For IT, Computer and extc 60 per branch and seat may be differ for different department."
421,seats,"For IT, Computer and extc 60 per branch and seat may be differ for different department."
422,college dress code,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER
423,college dresscode,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER
424,what is the uniform,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER
425,can we wear casuals,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER
426,Does college have an uniform,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER
427,Is there any uniform,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER
428,uniform,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER
429,what about uniform,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER
430,do we have to wear uniform,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER
431,what are the different committe in college,For the various committe in college contact this number: ADD NUMBER
432,different committee in college,For the various committe in college contact this number: ADD NUMBER
433,Are there any committee in college,For the various committe in college contact this number: ADD NUMBER
434,Give me committee details,For the various committe in college contact this number: ADD NUMBER
435,committee,For the various committe in college contact this number: ADD NUMBER
436,how many committee are there in college,For the various committe in college contact this number: ADD NUMBER
437,I love you,"I am not program for this, please ask appropriate query"
438,Will you marry me,"I am not program for this, please ask appropriate query"
439,Do you love me,"I am not program for this, please ask appropriate query"
440,fuck,please use appropriate language
441,fuck,Maintaining decency would be appreciated
442,bitch,please use appropriate language
443,bitch,Maintaining decency would be appreciated
444,shut up,please use appropriate language
445,shut up,Maintaining decency would be appreciated
446,hell,please use appropriate language
447,hell,Maintaining decency would be appreciated
448,stupid,please use appropriate language
449,stupid,Maintaining decency would be appreciated
450,idiot,please use appropriate language
451,idiot,Maintaining decency would be appreciated
452,dumb ass,please use appropriate language
453,dumb ass,Maintaining decency would be appreciated
454,asshole,please use appropriate language
455,asshole,Maintaining decency would be appreciated
456,fucker,please use appropriate language
457,fucker,Maintaining decency would be appreciated
458,holidays,Academic calender is given to you by your class-soordinators after you join your respective classes
459,when will semester starts,Academic calender is given to you by your class-soordinators after you join your respective classes
460,when will semester end,Academic calender is given to you by your class-soordinators after you join your respective classes
461,when is the holidays,Academic calender is given to you by your class-soordinators after you join your respective classes
462,list of holidays,Academic calender is given to you by your class-soordinators after you join your respective classes
463,Holiday in these year,Academic calender is given to you by your class-soordinators after you join your respective classes
464,holiday list,Academic calender is given to you by your class-soordinators after you join your respective classes
465,about vacations,Academic calender is given to you by your class-soordinators after you join your respective classes
466,about holidays,Academic calender is given to you by your class-soordinators after you join your respective classes
467,When is vacation,Academic calender is given to you by your class-soordinators after you join your respective classes
468,When is holidays,Academic calender is given to you by your class-soordinators after you join your respective classes
469,how long will be the vacation,Academic calender is given to you by your class-soordinators after you join your respective classes
470,sports and games,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>"
471,give sports details,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>"
472,sports infrastructure,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>"
473,sports facilities,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>"
474,information about sports,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>"
475,Sports activities,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>"
476,please provide sports and games information,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>"
477,okk,I am glad I helped you
478,okk,"welcome, anything else i can assist you with?"
479,okie,I am glad I helped you
480,okie,"welcome, anything else i can assist you with?"
481,nice work,I am glad I helped you
482,nice work,"welcome, anything else i can assist you with?"
483,well done,I am glad I helped you
484,well done,"welcome, anything else i can assist you with?"
485,good job,I am glad I helped you
486,good job,"welcome, anything else i can assist you with?"
487,thanks for the help,I am glad I helped you
488,thanks for the help,"welcome, anything else i can assist you with?"
489,Thank You,I am glad I helped you
490,Thank You,"welcome, anything else i can assist you with?"
491,its ok,I am glad I helped you
492,its ok,"welcome, anything else i can assist you with?"
493,Thanks,I am glad I helped you
494,Thanks,"welcome, anything else i can assist you with?"
495,Good work,I am glad I helped you
496,Good work,"welcome, anything else i can assist you with?"
497,k,I am glad I helped you
498,k,"welcome, anything else i can assist you with?"
499,ok,I am glad I helped you
500,ok,"welcome, anything else i can assist you with?"
501,okay,I am glad I helped you
502,okay,"welcome, anything else i can assist you with?"
503,what can you do,I can answer to low-intermediate questions regarding college
504,what can you do,"You can ask me questions regarding college, and i will try to answer them"
505,what are the thing you can do,I can answer to low-intermediate questions regarding college
506,what are the thing you can do,"You can ask me questions regarding college, and i will try to answer them"
507,things you can do,I can answer to low-intermediate questions regarding college
508,things you can do,"You can ask me questions regarding college, and i will try to answer them"
509,what can u do for me,I can answer to low-intermediate questions regarding college
510,what can u do for me,"You can ask me questions regarding college, and i will try to answer them"
511,how u can help me,I can answer to low-intermediate questions regarding college
512,how u can help me,"You can ask me questions regarding college, and i will try to answer them"
513,why i should use you,I can answer to low-intermediate questions regarding college
514,why i should use you,"You can ask me questions regarding college, and i will try to answer them"
515,ragging,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging"
516,is ragging practice active in college,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging"
517,does college have any antiragging facility,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging"
518,is there any ragging cases,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging"
519,is ragging done here,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging"
520,ragging against,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging"
521,antiragging facility,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging"
522,ragging juniors,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging"
523,ragging history,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging"
524,ragging incidents,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging"
525,hod,"HODs differ for each branch, please be more specific like: (HOD it)"
526,hod name,"HODs differ for each branch, please be more specific like: (HOD it)"
527,who is the hod,"HODs differ for each branch, please be more specific like: (HOD it)"
